Distritos,TOTAL,0-15 años,16-24 años,25-39 años,40-64 años,65 años y más
BARCELONA,1660435,208185,148153,378152,574874,351071
Ciutat Vella,106446,11172,10276,37543,34645,12810
L'Eixample,268824,28194,22215,71535,88129,58751
Sants-Montjuïc,185963,21625,16175,44740,65684,37739
Les Corts,82154,10787,7209,15479,26755,21924
Sarrià-Sant Gervasi,149804,23484,16313,27380,49938,32689
Gràcia,122928,14699,9964,30399,41520,26346
Horta-Guinardó,175550,22025,15200,36006,62563,39756
Nou Barris,174215,23678,16425,34117,62193,37802
Sant Andreu,151799,20682,13148,29173,55274,33522
Sant Martí,242752,31839,21228,51780,88173,49732
