CAMIÓN,RUTA,MOMENTO DE VISITA,BICICLETAS EN CAMIÓN
3,1.0,0,25
3,412.0,6,10
3,363.0,11,1
3,388.0,23,9
3,187.0,27,20
3,113.0,32,26
3,78.0,39,15
3,406.0,42,6
3,373.0,53,17
3,79.0,62,7
3,179.0,81,15
3,203.0,89,10
3,349.0,102,21
3,252.0,133,32
3,397.0,156,21
3,446.0,165,12
3,345.0,184,17
3,97.0,197,7
3,99.0,209,0
3,355.0,222,7
3,61.0,243,16
3,220.0,255,10
3,511.0,261,1
3,177.0,277,7
3,382.0,292,18
3,26.0,306,9
3,476.0,318,3
3,269.0,335,9
3,389.0,357,16
3,412.0,368,25
3,36.0,374,34
3,115.0,383,41
3,377.0,389,48
3,208.0,408,39
3,347.0,422,49
3,194.0,435,39
3,188.0,441,31
3,198.0,449,22
3,201.0,456,13
3,1.0,479,13
