,columna,metrica,tiempo_procesamiento,cluster
0,1.0,4.069892133069716,204.2437436580658,2
1,2.0,3.4255081673423486,189.61898970603943,2
2,3.0,3.4496166311519687,185.21690464019773,2
3,4.0,3.370973696451517,193.720725774765,0
4,5.0,2.730656861045731,193.38701939582825,2
5,6.0,3.3518982488860574,189.5442314147949,2
6,7.0,3.507717686130683,194.87685656547544,0
7,8.0,3.4563294042887405,197.33987975120544,0
8,9.0,4.139426632525928,197.7689688205719,0
9,11.0,3.936072470225565,197.34114122390747,0
10,12.0,3.7201285318385553,199.35557198524475,0
11,13.0,5.478203018274517,194.24469232559204,0
12,14.0,3.933445861576157,195.17288208007807,0
13,15.0,3.709353342030898,196.20287585258484,0
14,17.0,5.48305441322292,196.19723463058472,0
15,18.0,3.517437551284278,200.94489312171936,2
16,19.0,4.525718467197167,195.94746613502505,2
17,20.0,2.2320449966657234,197.778924703598,2
18,21.0,2.507849288064131,198.72488164901733,2
19,22.0,2.281653346264122,192.29801988601685,2
20,23.0,3.3454155095706,197.8354918956757,0
21,24.0,4.984870177367414,198.7863256931305,2
22,25.0,2.656473749019632,197.37674403190613,1
23,26.0,2.2862771583047827,196.4068188667297,2
24,27.0,2.4450730454461422,198.2724165916443,1
25,29.0,2.880645746614233,199.2299404144287,2
26,30.0,2.9373758749032413,195.78284215927124,2
27,31.0,2.5194221128445227,201.3088309764862,0
28,32.0,2.1729318184031943,200.56393194198608,0
29,33.0,3.7908486725805832,199.10272932052607,0
30,34.0,3.23925260802272,198.89720821380612,0
31,35.0,4.732220092583099,197.03311371803284,0
32,36.0,3.040452306095636,197.5012810230255,0
33,39.0,5.118810992315737,192.29625415802,0
34,40.0,2.9113740438340168,199.35831999778748,2
35,41.0,4.362918906893452,201.83162426948547,2
36,42.0,3.001396054969515,201.73181891441345,0
37,44.0,2.2275112549226668,202.2490177154541,0
38,45.0,4.1899515776796745,198.65428042411804,0
39,46.0,5.228570783013172,193.7996406555176,0
40,47.0,5.25373185094657,200.63241124153137,0
41,48.0,2.7884372950672445,205.22360968589783,0
42,49.0,2.889864978475505,202.23835968971247,0
43,50.0,2.9294390303525657,203.37771010398865,2
44,51.0,3.041301747337968,202.47704577445984,0
45,53.0,3.3546574885036007,196.06974291801453,0
46,54.0,3.182843197573248,201.2936680316925,2
47,55.0,2.597062262836284,200.21424460411072,0
48,56.0,4.641770088983269,199.5671682357788,0
49,57.0,1.6493329477506056,201.0054967403412,0
50,58.0,4.47412744276031,199.75576210021973,2
51,60.0,3.3349636329075065,206.65426468849185,0
52,61.0,2.19018256488457,197.9126551151276,0
53,62.0,3.2181373360058108,197.8031539916992,0
54,63.0,3.351612588928636,200.63905549049375,0
55,64.0,3.493369531355658,201.9403860569,0
56,65.0,3.138241525176041,200.20519852638245,0
57,67.0,2.5245367933700686,199.29564023017883,2
58,68.0,3.487193321228524,199.9128415584564,1
59,69.0,5.1494765382704255,199.96482181549072,0
60,70.0,3.706634322316904,199.33227276802063,2
61,71.0,2.879084400933905,206.68527936935425,2
62,72.0,3.84451219572242,198.51589012146,0
63,73.0,3.962449910355919,199.9984557628632,1
64,74.0,1.7984494160301194,201.0379319190979,2
65,75.0,1.7085624754134627,198.8326210975647,2
66,76.0,4.667978515269329,198.92062664031985,1
67,78.0,3.3277619779443,199.3983073234558,0
68,79.0,2.8793867570373406,197.13085889816284,0
69,80.0,2.408886150499504,199.56757187843323,0
70,81.0,2.6079691823784623,198.1475954055786,2
71,82.0,4.495513539177556,194.93029165267944,2
72,83.0,2.951082802659824,189.2316584587097,2
73,84.0,3.57247209787606,196.4833118915558,2
74,85.0,4.886932376688132,200.3762903213501,2
75,86.0,3.6971953919756846,198.99334383010864,2
76,87.0,2.7947484336380226,197.454017162323,2
77,88.0,2.1178815257262644,202.70190691947937,0
78,89.0,2.498927882625678,197.4902102947235,1
79,90.0,1.5922702928752137,198.4328646659851,1
80,92.0,2.1910901909471003,195.050886631012,0
81,94.0,6.043703021171154,199.4674060344696,0
82,95.0,4.157158469479001,187.48284816741943,0
83,97.0,2.1114242499878837,195.93179774284363,2
84,98.0,2.3080252528687333,189.15413904190063,0
85,99.0,2.528463514093285,191.9611079692841,0
86,100.0,2.5622602136234094,199.2994349002838,0
87,101.0,2.547353437522693,199.6702380180359,0
88,102.0,2.5716088725583788,199.35924005508423,0
89,103.0,2.65279426496198,201.17049145698547,2
90,104.0,3.309518032072661,199.65881633758545,2
91,105.0,2.5154129456738965,198.3716197013855,0
92,106.0,2.082850957198448,201.50051426887512,2
93,107.0,1.7833258501511924,201.20572519302368,0
94,108.0,2.393653022656416,201.6225881576538,2
95,109.0,2.487155229294562,199.7899758815765,1
96,110.0,2.1048564121811704,187.852032661438,2
97,111.0,2.464503287498048,190.8351712226868,2
98,112.0,3.079791296671399,199.34234619140625,2
99,113.0,4.0916672895671375,199.0391330718994,2
100,114.0,2.786181017793384,200.78612971305847,1
101,115.0,3.1798410266991946,199.8203237056732,0
102,116.0,4.043851449524227,198.4355535507202,0
103,117.0,3.240961493024634,198.81658959388733,0
104,118.0,4.140932080125565,198.72764682769773,0
105,119.0,4.615758780342705,199.0841379165649,2
106,120.0,2.4568071208354523,199.11976766586304,2
107,121.0,2.4329450731792344,199.8785581588745,2
108,122.0,2.677961125547605,196.74479007720947,2
109,123.0,2.177599935706686,194.8818895816803,2
110,124.0,3.6407093217874,208.07819652557373,0
111,125.0,2.229674710399478,197.9030282497406,0
112,126.0,2.830242975289022,201.79261827468872,0
113,127.0,3.212897003411509,198.1518740653992,2
114,128.0,4.940296727460327,192.56090712547305,2
115,129.0,3.21670217427728,195.04262232780457,2
116,130.0,3.8359404073895695,198.4933819770813,2
117,131.0,3.998204452283024,195.11504578590396,2
118,132.0,3.6130112685172455,195.2510201931,2
119,133.0,2.568912779004169,192.6775257587433,1
120,134.0,3.012581051066621,197.3051507472992,2
121,135.0,2.608383406535147,196.00565338134768,2
122,136.0,3.39498023426799,194.5065240859985,1
123,137.0,2.591405201599444,211.17847418785092,2
124,138.0,2.8685090464193217,208.4450523853302,2
125,139.0,2.765352430052686,199.97950267791748,2
126,140.0,3.2433605541547155,209.1846055984497,2
127,141.0,3.635044637657324,210.96958589553836,2
128,142.0,3.752345457113597,194.62698316574097,0
129,143.0,3.4990834116295897,181.80020117759705,0
130,144.0,3.903617780224151,179.1819498538971,0
131,145.0,3.627702444456547,181.0880696773529,1
132,146.0,2.716747425709153,179.60016989707947,0
133,147.0,4.0808028635410745,173.3610258102417,2
134,148.0,4.331971413736189,180.318772315979,2
135,149.0,3.816204935908071,180.41033363342285,0
136,150.0,4.052691013621325,181.9425883293152,1
137,151.0,3.330879775002907,184.95948839187625,0
138,152.0,3.850802591892037,180.79422998428345,0
139,153.0,3.704367418254993,182.01685428619385,0
140,154.0,4.5333775944158425,178.31763768196106,2
141,155.0,4.123808902219629,173.51377868652344,0
142,156.0,3.610718427093959,175.57550024986267,0
143,157.0,3.6201175462824304,178.3202669620514,0
144,158.0,3.8396305445734273,171.42744731903076,0
145,159.0,3.683061990909237,180.12033534049988,0
146,161.0,4.055222273288637,170.59526443481445,0
147,162.0,3.492585887480935,179.08851766586304,2
148,163.0,4.058050317894284,179.15008068084717,0
149,164.0,3.754280248391701,178.1010296344757,2
150,165.0,3.218348069908831,179.3611559867859,0
151,167.0,2.913943814655204,179.31173062324524,2
152,168.0,3.5724985231068507,167.64180493354797,0
153,170.0,5.243461088336347,180.91445112228396,0
154,171.0,5.683338327989477,168.17852568626404,0
155,173.0,3.7125389944908553,179.57204508781433,0
156,174.0,2.406816585880466,178.70944714546204,0
157,175.0,2.7024886121013094,182.82864809036252,1
158,176.0,2.6442788837061832,174.70289397239685,0
159,177.0,3.6124937037208,169.12098622322085,2
160,178.0,3.0538190473248124,180.4792802333832,0
161,179.0,2.103458978111582,178.99211049079895,2
162,180.0,5.975004768951479,170.170916557312,1
163,182.0,4.0883797539182085,174.91290497779846,2
164,183.0,3.803466883427357,172.5361523628235,2
165,185.0,2.3600171082014127,177.6863956451416,2
166,187.0,2.76813419162495,177.58706331253052,2
167,188.0,3.532460646568493,177.87446999549866,2
168,189.0,4.61203200060945,181.8576054573059,2
169,190.0,4.053198178171502,178.32028341293335,0
170,192.0,2.9592739142159186,183.5706467628479,2
171,193.0,3.0011031352652995,179.90886926651,2
172,194.0,2.244917326243136,178.7440962791443,2
173,195.0,1.989932496835884,177.37357664108276,2
174,196.0,2.1390274402740457,178.35083293914795,2
175,197.0,2.3810129615272912,179.5788905620575,2
176,198.0,1.9792448979164232,178.40004658699036,2
177,199.0,2.0523001550194886,183.0498080253601,2
178,200.0,2.0647233780442305,181.7813045978546,2
179,201.0,1.81161152860912,181.96628546714783,0
0,202.0,2.240093328560532,203.1331765651703,1
