CAMIÓN,RUTA,MOMENTO DE VISITA,BICICLETAS EN CAMIÓN
2,1.0,0,25
2,4.0,3,10
2,118.0,8,17
2,43.0,18,8
2,143.0,29,17
2,393.0,33,25
2,103.0,43,15
2,104.0,47,8
2,150.0,56,16
2,153.0,61,25
2,151.0,67,32
2,455.0,79,23
2,286.0,92,30
2,121.0,103,25
2,149.0,114,32
2,117.0,120,41
2,392.0,125,48
2,106.0,145,42
2,20.0,157,48
2,318.0,161,42
2,505.0,165,32
2,507.0,170,23
2,372.0,183,31
2,518.0,197,22
2,47.0,220,31
2,46.0,223,46
2,66.0,238,28
2,3.0,246,33
2,69.0,255,42
2,92.0,273,29
2,380.0,286,35
2,185.0,307,43
2,111.0,319,47
2,76.0,328,41
2,88.0,333,31
2,455.0,350,37
2,292.0,363,30
2,299.0,371,26
2,263.0,383,35
2,271.0,391,41
2,341.0,403,48
2,468.0,416,39
2,419.0,441,45
2,151.0,451,34
2,133.0,458,25
2,1.0,475,25
