CAMIÓN,RUTA,MOMENTO DE VISITA,BICICLETAS EN CAMIÓN
1,1.0,0,25
1,3.0,3,10
1,412.0,10,19
1,91.0,18,10
1,66.0,24,21
1,110.0,31,16
1,140.0,37,9
1,111.0,42,0
1,180.0,52,6
1,404.0,57,23
1,194.0,67,13
1,403.0,71,5
1,302.0,87,12
1,459.0,101,22
1,462.0,108,9
1,463.0,111,0
1,35.0,122,8
1,178.0,127,25
1,174.0,132,34
1,467.0,146,25
1,471.0,154,19
1,450.0,168,27
1,472.0,186,18
1,168.0,200,26
1,490.0,215,18
1,49.0,233,34
1,178.0,243,27
1,171.0,250,36
1,474.0,262,18
1,57.0,281,26
1,286.0,301,18
1,49.0,311,13
1,66.0,327,20
1,474.0,343,25
1,92.0,366,33
1,218.0,378,39
1,23.0,386,26
1,514.0,398,35
1,103.0,401,41
1,142.0,412,34
1,378.0,431,44
1,412.0,444,37
1,3.0,452,46
1,149.0,462,37
1,1.0,474,37
